,ID,rownum,colnum,LAT,LON
2387,2387.0,47.0,37.0,38.25130202126373,113.55107348365954
2388,2388.0,47.0,38.0,38.251212731250966,113.65446772558082
2389,2389.0,47.0,39.0,38.2510341515442,113.75786159239641
2390,2390.0,47.0,40.0,38.250766282780994,113.86125483404193
2391,2391.0,47.0,41.0,38.2504091259176,113.96464720046204
2392,2392.0,47.0,42.0,38.249962682229096,114.06803844161414
2393,2393.0,47.0,43.0,38.24942695330929,114.17142830747188
2394,2394.0,47.0,44.0,38.24880194107072,114.27481654802898
2395,2395.0,47.0,45.0,38.24808764774457,114.37820291330262
2396,2396.0,47.0,46.0,38.24728407588087,114.48158715333726
2397,2397.0,47.0,47.0,38.24639122834822,114.5849690182082
2398,2398.0,47.0,48.0,38.24540910833387,114.68834825802517
2399,2399.0,47.0,49.0,38.244337719343775,114.79172462293594
2400,2400.0,48.0,0.0,38.27298920196,109.72335830123319
2401,2401.0,48.0,1.0,38.27620464234952,109.82670416736404
2402,2402.0,48.0,2.0,38.279330897032146,109.93005891324982
2403,2403.0,48.0,3.0,38.2823679548529,110.0334222902188
2404,2404.0,48.0,4.0,38.28531580497451,110.1367940494742
2405,2405.0,48.0,5.0,38.288174436877576,110.24017394209791
2406,2406.0,48.0,6.0,38.290943840360534,110.34356171905395
2407,2407.0,48.0,7.0,38.293624005539854,110.44695713119208
2408,2408.0,48.0,8.0,38.296214922850076,110.55035992925139
2409,2409.0,48.0,9.0,38.298716583043834,110.65376986386391
2410,2410.0,48.0,10.0,38.30112897719201,110.75718668555815
2411,2411.0,48.0,11.0,38.30345209668369,110.8606101447628
2412,2412.0,48.0,12.0,38.30568593322644,110.96403999181017
2413,2413.0,48.0,13.0,38.3078304788461,111.06747597693997
2414,2414.0,48.0,14.0,38.30988572588709,111.17091785030277
2415,2415.0,48.0,15.0,38.31185166701226,111.27436536196373
2416,2416.0,48.0,16.0,38.31372829520318,111.37781826190611
2417,2417.0,48.0,17.0,38.31551560375987,111.48127630003499
2418,2418.0,48.0,18.0,38.31721358630132,111.58473922618077
2419,2419.0,48.0,19.0,38.31882223676503,111.68820679010291
2420,2420.0,48.0,20.0,38.32034154940742,111.79167874149351
2421,2421.0,48.0,21.0,38.32177151880369,111.89515482998088
2422,2422.0,48.0,22.0,38.32311213984797,111.99863480513326
2423,2423.0,48.0,23.0,38.3243634077533,112.10211841646242
2424,2424.0,48.0,24.0,38.325525318051675,112.20560541342724
2425,2425.0,48.0,25.0,38.32659786659407,112.30909554543744
2426,2426.0,48.0,26.0,38.32758104955053,112.41258856185716
2427,2427.0,48.0,27.0,38.32847486341014,112.51608421200861
